id,first_name,last_name,description,gender,resort,role,hourly_rate_cents,email,password,avatar
1,Jeff,Scholl,"Skier, snowboarder traveller and photographer. 
Passionate about the outdoor I like to discover new spots around the world, always in search of an adventure. 
An expert freerider, I have worked for many years as a ski & snowboard coach, I give my best when it’s about technique.
I enjoy sharing my passion for winter sports and the environment with all level skiers and snowboarders. My approach to the mountains is about discovering and experiencing something new everyday.",Male,Kitzbühel,1,1500,jeff.scholl@skicoach.com,12345678,seeds/1 - Jeff1.png
2,Carolin,Martinez,"Hello, my name is Carolin and I grew up in Buenos Aires. I moved to Gstaad over 10 years ago to follow my love for skiing.
I now teach skiing in different resorts in the Alps, but preferably in Gstaad where I currently live. 
Skiing is like a song where you can choose the right rhythm. I am great with beginners looking to build their confidence up and I also specialize in freestyle.
Let's enjoy!",Female,Kitzbühel,1,1800,carolin.martinez@skicoach.com,12345678,seeds/2 - Carolin1.png
3,Giorgio,Palatino,"Experienced and patient instructor with over 10 years experience;
Dedicated to teaching skiing and snowboarding, I'm patient and will help you learn at your own pace, I was born in the Italian Alps and I've been skiing and competing from the age of 6.",Male,Kitzbühel,1,2000,giorgio.palatino@skicoach.com,12345678,seeds/3 - Giorgio1.png
4,Willena,Gomez,"I am as passionate about skiing as I am about teaching. My skill set is diverse, I can take you anywhere in the resort
My primary quality is my motivation; I love what I do and the mountains are my playground that I simply want to share with you!!
From the complete beginner who has never seen snow before, to the expert who wants to get better and better, and the skier who would like to explore the snowpark and all the crazy things freestyle has to offer, the small freerider group that wants to ski every powdery run and the curious rider who wants to try the graceful telemark - all that is my world.",Female,Kitzbühel,1,1200,willena.gomez@skicoach.com,12345678,seeds/4 - Willena1.jpg
5,John ,Backflipowski,"Don't delay, book today. Then let's play!

There are 2 types of people in this world: 
- those who warm up by pulling backflips in the half pipe
- and the others nobody cares about

My approach to skiing is simple: go big or go home. For those of you interested in extreme skiing, please contact me and let's rock it.
",Male,Kitzbühel,1,2500,john .backflipowski@skicoach.com,12345678,seeds/5 - John 1.png
6,Mira,Katero,"I'm here to help you achieve real progress in skiing, whatever your level, through the development of awareness and anticipation reflexes, and with a stronger sense of contact between your feet and the snow. Instead of boring and confusing you with hideous exercises and technical jargon, I like to make use of our basic senses, natural biomechanics, and simple psychology to help free up your mind and allow you to ski beyond your expectations, all whilst feeling safe and having a lot of fun!!

I love coaching all levels of skier from beginner to expert, and specialise in moguls, off-piste, free-ride, freestyle, and competition.",Female,Kitzbühel,1,2230,mira.katero@skicoach.com,12345678,seeds/6 - Mira1.png
7,Rob,Melger,"I have taught skiing since 2002 and I have been teaching skiing in Courchevel, La Tania and Meribel since 2011. Along side running my own ski school in the 3 valleys called PDS academy, I also work as an examiner and trainer for the British Association of Snowsport Instructors (BASI). This appointed position sees me have the privilege of training and examining future ski instructors all over the world.",Male,Kitzbühel,1,1730,rob.melger@skicoach.com,12345678,seeds/7 - Rob1.png
8,Ester,Ledecká,"I am a Czech snowboarder and alpine skier. At the 2018 Winter Olympics in Pyeongchang, I won gold medals in the super-G in alpine skiing, and in the parallel giant slalom in snowboarding, becoming the first person to win two gold medals at the same Winter Olympics using two different types of equipment (skis and snowboard). I was the second woman to win Olympic gold in two separate disciplines but the first to do so at the same Winter Olympics. 

I can be your teacher as you pay me well and you can follow the pace!

",Female,Kitzbühel,1,10000,ester.ledecká@skicoach.com,12345678,seeds/8 - Ester1.jpg
9,Luigi,Peroni,"I am a 31 years old fully qualified italian ski instructor with Italian Diploma and Carte professionelle. I grew up skiing in the Dolomites from the age of 10.

French Alps are my office since 5 years. What I love the most here is to ride good powder off-piste and hit some jumps and rails at the the terrain park. Freestyle around with some flat tricks or good carving are between my favourites activities too.",Male,Kitzbühel,1,4400,luigi.peroni@skicoach.com,12345678,seeds/9 - Luigi1.jpg
10,Samantha,Snow,"My three key words are: FUN, IMPROVING and SAFETY.

I love to get people stoked with skiing through my strong passion for it. I think skiing means basically having FUN so this is the way I instruct all the different areas of skiing throughout the different levels (from very beginners to pro training) and ages. I do both group lessons and private ones. ",Female,Kitzbühel,1,5000,samantha.snow@skicoach.com,12345678,seeds/10 - Samantha1.jpeg
